Series Code,Series Name,Country Code,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
I51,"Full-time equivalent telecommunication employees, total ",BRA,Brazil,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,75000,85000,86000,92000,94000,97000,98000,104694,101902,103572,105318,104023,105492,104420,104560,108638,101134,97941,93574,95596,92509,89536,87282,84848,96428,104963,93494,..,69475,76120,306734,328778,448271,..,356837,424123,470214,239705,..,..
I51,"Full-time equivalent telecommunication employees, total ",BRN,Brunei Darussalam,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,240,360,400,560,590,614,..,640,650,661,652,593,742,730,..,927,957,972,953,925,903,900,901,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
I51,"Full-time equivalent telecommunication employees, total ",BGR,Bulgaria,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22814,22800,..,24000,24000,..,..,..,25931,26560,26870,44956,43842,25800,26000,26192,26398,26528,26393,26487,25839,25129,27482,26062,20472,25577,24894,23358,22472,21421,20360,19025,17781,17831,20748
I51,"Full-time equivalent telecommunication employees, total ",BFA,Burkina Faso,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,484,477,..,917,931,988,..,1103,1155,1171,1193,1215,1220,1224,1245,1250,1256,1272,1289,1266,1433,1501,1647,1720,1811,1907,1724,1603,1509,1449,1413,1385
I51,"Full-time equivalent telecommunication employees, total ",BDI,Burundi,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,387,400,..,480,..,502,526,495,504,559,604,634,607,574,617,620,581,555,530,548,548,549,..,..,..,1038,1228,1286,1290,1312,1389,1671
I51,"Full-time equivalent telecommunication employees, total ",KHM,Cambodia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,400,400,453,535,563,741,753,778,731,669,661,577,992,..,..,..,2600,2500,1658,6386,..,..,..,2931
I51,"Full-time equivalent telecommunication employees, total ",CMR,Cameroon,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1865,1761,1918,..,2175,2173,..,2067,2040,2003,2000,1955,1936,1947,1820,2500,2213,2213,2213,2225,2821,3130,3223,3111,3300,3488,3749,3810,4002,..,..,..
I51,"Full-time equivalent telecommunication employees, total ",CAN,Canada,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,82866,83504,87546,92873,96539,100059,102625,111088,113612,100497,99765,91671,92720,96146,98166,98166,95731,92263,83708,89526,90148,82115,80673,90675,86548,89229,90755,84617,82487,84036,82937,..,..,..,116608,115735,116302,..,..,..
I51,"Full-time equivalent telecommunication employees, total ",CPV,Cape Verde,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,99,..,..,..,..,..,..,233,249,279,421,417,408,409,423,433,483,466,469,459,454,442,416,520,526,525,595,640,707,..,790
I51,"Full-time equivalent telecommunication employees, total ",CYM,Cayman Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,191,203,..,..,..,..,..,242,242,240,248,250,257,255,261,264,269,..,..,..,..,..,..,..,..,..,..,..,..,..,351
