"","country","country_name","iso2c","year","b","se","pop.dens","gov.exp","trade","gdp.growth","gdppc","fem.lab","pop","non.agri","net100hab","bb100hab","mobile100hab","fixed100hab"
"15","DZA","Algeria","DZ",2014,-1.19106406637911,0.111589599867083,16.3425424269652,19.7916243433845,62.1458629596308,3.80000000077902,11329.428687813,18.3709854681003,38923687,89.7135560263517,29.5,4.1098156875766,111.238610150342,7.96118466871026
"16","DZA","Algeria","DZ",2015,-1.19353650392076,0.115318755989283,16.680252672416,21.5602505878763,59.6953215219564,3.70000000057085,11510.7537354979,18.2105483057716,39728025,88.4213801480311,38.2,5.71220945415736,108.808940288373,8.22490420804961
"17","DZA","Algeria","DZ",2016,-1.19461211834589,0.120096396608854,17.0259574932612,20.8905712948055,55.9259132380985,3.19999999983371,11637.8978286786,18.0371538831264,40551404,87.7804802850194,42.9455268800332,7.05171107319818,116.004207697728,8.39603483895201
"18","DZA","Algeria","DZ",2017,-1.19875747864806,0.118474569425518,17.3777146120063,19.2568786102273,55.8799937552824,1.29999999902873,11550.5554568171,17.806934415074,41389198,88.054285975764,47.6910551485548,7.75629355772108,110.767246490382,9.90834104045866
"19","DZA","Algeria","DZ",2018,-1.20594749604429,0.110119086867575,17.7300750711665,17.3146882141852,57.9645690084949,1.40000000081805,11479.4983728015,17.5683591656242,42228429,88.0206919359695,49.0384680793271,7.26293541541988,111.664792099195,9.94808755281516
"20","AGO","Angola","AO",2000,-0.939255163194174,0.0949075780831269,13.1510972968637,NA,152.547109454858,3.05462423430785,4707.44155459161,49.0241850157129,16395473,94.3353104364645,0.105045562462262,NA,0.157397105896243,0.395840973907859
"21","AGO","Angola","AO",2001,-0.939929549543687,0.0986668659327657,13.5924865645304,25.1546327243358,150.335794690093,4.2059985561951,4746.14207672036,49.0979585058029,16945753,91.8436229775334,0.136013867429868,NA,0.442588771357638,0.453210901870221
"22","AGO","Angola","AO",2002,-0.939857238620199,0.102796086660968,14.0526325499318,19.1305785372378,105.301742600149,13.6656865230232,5218.08724482539,49.1982710054671,17519417,94.1604500251734,0.270376745595134,NA,0.799113349491025,0.45777779020843
"23","AGO","Angola","AO",2003,-0.939020313629713,0.107247228107003,14.5355570706666,21.854259210424,103.901226814948,2.98985001039553,5195.55290570415,49.2770763945862,18121479,93.8016156613116,0.370682065225727,NA,1.93140968239954,0.469293924629441
"24","AGO","Angola","AO",2004,-0.937407278520551,0.111982695962443,15.0462380685008,14.3120598095328,103.579924362095,10.9528617687103,5568.95913885002,49.3777841879602,18758145,93.7491234644787,0.464814617985909,NA,3.94495297909255,0.502608333606548
"25","AGO","Angola","AO",2005,-0.935020770090019,0.116939272429816,15.5880340097858,16.0290371753303,106.590962129525,15.0289153175302,6183.26187738155,49.4859508734124,19433602,94.9395970520911,1.1433668265595,NA,8.2903725207504,0.49790049214757
"26","AGO","Angola","AO",2006,-0.931849394435208,0.122095192703682,16.1625900376995,15.3417224061598,94.6251593320477,11.5476831781633,6652.09713649169,49.5643012682403,20149901,94.8087198112387,1.5,0.037012588796342,15.1594789473159,0.487173609438577
"27","AGO","Angola","AO",2007,-0.928331451188504,0.126950295402117,16.7685593968076,15.5369347037304,108.060067893978,14.0100182426328,7309.99030864963,49.6543093218425,20905363,94.7577216626534,1.7,0.0559665000794294,23.7333166613754,0.451051722947839
"28","AGO","Angola","AO",2008,-0.924982244289358,0.131011267318303,17.4024496671212,16.8146114613451,121.36470790564,11.1661383303613,7830.23304625279,49.7359312881133,21695634,95.1946606832664,1.9,0.0734802218732119,31.219903506853,0.526815671761424
"29","AGO","Angola","AO",2009,-0.920876794893089,0.135249654514114,18.0591008261811,19.8985903407746,122.446142344145,0.858712615098312,7610.31042285072,49.7863041829653,22514281,93.3788029295223,2.3,0.0666243794327698,36.0190094456048,1.34660751546985
"30","AGO","Angola","AO",2010,-0.91600935948644,0.139646290728448,18.7344557632149,17.042343917732,104.123629959119,4.85919754128949,7692.43691185409,49.8462047932726,23356246,93.8197068194264,2.8,0.0642226494788589,40.2606009544513,1.20362664445305
"31","AGO","Angola","AO",2011,-0.910398772448996,0.144160011308318,19.427818240154,18.2358605300281,99.9825078537909,3.47198137570336,7675.44843203492,49.8665201765631,24220661,94.1543190311189,3.1,0.0653037503807183,49.8467733807925,0.658466752827266
"32","AGO","Angola","AO",2012,-0.904051853355187,0.148763211494113,20.1395131146226,17.8426343702592,91.8000986064676,8.54214733662195,8036.69028703327,49.9101329121523,25107931,93.9303699252655,6.5,0.0816953017753633,50.9205995507953,0.829797564761509
"33","AGO","Angola","AO",2013,-0.897016818604363,0.153403797802611,20.8677147669848,21.6219487360425,86.8119307833605,4.95459047039728,8140.53120789329,49.9537928599519,26015780,93.492507460074,8.9,0.0856480149490803,51.0659203350459,0.826229279835958
"34","AGO","Angola","AO",2014,-0.89159242991615,0.157323421101343,21.6104748536135,17.9756599893925,79.3329275092697,4.82262555122684,8239.83207659947,50.0035569899111,26941779,92.4529432208178,21.4,0.325702322775345,52.158983265359,1.06680408892078
"35","AGO","Angola","AO",2015,-0.896823801863762,0.160002480757412,22.3665524985963,16.4328322487885,62.8885207850511,0.943575613388759,8036.41409222015,50.0509139551099,27884381,90.8774655292959,12.4,0.550742008581794,49.7932229515871,1.02180858882971
"36","AGO","Angola","AO",2016,-0.901874830519104,0.162599011057772,23.1350637683484,13.8806820723169,53.3701552785467,-2.58009724323077,7568.99722478798,50.0983085494172,28842484,90.1688313913074,13,0.293747186659237,45.0762900524986,1.05570985915952
"37","AGO","Angola","AO",2017,-0.908596641501959,0.163607959407974,23.9165380604797,12.9358215152381,52.256821448818,-0.147207419438828,7310.90173803536,50.154904594908,29816748,89.983004087237,14.3390793643794,0.32504866557292,44.6861071385139,0.540199430079037
"38","AGO","Angola","AO",2018,-0.915616321760845,0.164128871884626,24.7130520574316,10.474544743401,66.3780119350296,-2.00357675383141,6933.50930820608,50.2114677077288,30809762,91.3922582375649,NA,0.355604535662645,43.1305188834963,0.557803272057674
"39","ARG","Argentina","AR",2000,-0.965563481311071,0.0613210027495129,13.4727671018639,13.7841913064131,22.6224447777343,-0.78899893905691,18625.4512647604,42.1350797573078,36870787,95.320089055827,7.0386830862178,NA,17.5964510874151,21.4104597224898
"40","ARG","Argentina","AR",2001,-0.968660981117961,0.0622833921058845,13.620706766203,14.1562743129569,21.8522554515453,-4.40883968258557,17610.9058836486,41.9914130584272,37275652,95.4314103910821,9.78080728532407,0.252175334183289,18.0863127491372,21.8143333884542
"41","ARG","Argentina","AR",2002,-0.969960118082379,0.0627408193130461,13.7690966094077,12.235247296692,41.7527243585642,-10.8944848285903,15523.1722923224,41.5100171894061,37681749,89.7933532855589,10.8821243775325,0.392763085386509,17.4268450225068,20.4570334567007
"42","ARG","Argentina","AR",2003,-0.970106804340377,0.0629296635435375,13.9174944915208,11.4380567929249,40.6447480311085,8.83704079576924,16714.8156823728,41.8463455053134,38087868,89.671833060883,11.9136965509954,0.679610105769113,20.5898450393705,22.5895264077265
"43","ARG","Argentina","AR",2004,-0.970225616193511,0.0631319474922793,14.0651560827131,11.114636067696,40.692646108947,9.02957330068155,18032.7684630281,42.1862329211075,38491972,91.6375133899717,16.0366841054923,1.41036941417291,35.1044186564409,22.7594626744507
"44","ARG","Argentina","AR",2005,-0.970316338623121,0.0633468238636171,14.211668475421,12.1418612359575,40.5512709706238,8.85165992013435,19426.6068300837,41.8453388809991,38892931,92.0612457257906,17.7205833696065,2.38275176535294,56.9677456296621,24.2760644601457
"45","ARG","Argentina","AR",2006,-0.970378738609789,0.0635747645409193,14.3567148635761,12.4294153726307,40.4334798719151,8.04715150043027,20777.8336728194,42.0720291175407,39289878,93.0644277087361,20.9272021035896,4.03084224389803,80.1997654459502,24.0769238326472
"46","ARG","Argentina","AR",2007,-0.970413226479722,0.063815665430383,14.5008367772747,12.9893238963619,40.945170618571,9.00765087504757,22424.3186931208,41.7815367639477,39684295,92.5476460539308,25.9466329403819,6.55171019165138,101.807959546717,23.9389410848801
"47","ARG","Argentina","AR",2008,-0.970419497667679,0.0640695541118147,14.6454877973026,13.6335132595631,40.4026733790382,4.05723310346406,23103.6583401892,41.4977052390446,40080160,92.6810454027564,28.1126234799907,7.77127885717023,116.039392058315,24.3083685294669
